	summarized	lineages	abundances	resid	coverage
NOPCR_BA.2_0.003_abundance_0.012.tsv	[('Omicron', 0.9983282299062823)]	BA.2.7 BA.2.51 BA.2.34 BA.2.26 BA.2.29 BA.2.32 BA.2.64 BA.2.85 BA.2.33 BA.2.28 BA.2.62 BA.2.50 BA.2.65 BA.2.1 BA.2.24 BA.2.10 BA.2.4 BA.2.5 BA.2 BA.2.9.1	0.05247564 0.05247564 0.05247564 0.05247564 0.05247564 0.05247564 0.05247564 0.05247564 0.05247564 0.05247564 0.05247564 0.05247564 0.05247564 0.05247564 0.05247564 0.05247564 0.05247564 0.05247564 0.05247564 0.00129103	0.30168276211755185	5.277062502090091
NOPCR_BA.2_0.003_abundance_0.013.tsv	[('Omicron', 0.9974424059449709)]	BA.2.3.6 BA.2.3.14 BA.2.3.21 BA.2.3.17 BA.2.3.1 BA.2.3.16 BA.2.3.10 BA.2.3.9 BA.2.3.13 BA.2.56.1 BA.2.55 BA.2.10.1 BA.2.10.3 BA.2.61 BA.2.33 BA.2.40 BA.2.62 BA.2.30 BA.2.41 BA.2.29 BA.2.3 BA.2.10 BA.2.27 BA.2.65 BA.2.5 BA.2.56 BA.2	0.03694231 0.03694231 0.03694231 0.03694231 0.03694231 0.03694231 0.03694231 0.03694231 0.03694231 0.03694231 0.03694231 0.03694231 0.03694231 0.03694231 0.03694231 0.03694231 0.03694231 0.03694231 0.03694231 0.03694231 0.03694231 0.03694231 0.03694231 0.03694231 0.03694231 0.03694231 0.03694231	0.7822040356889196	7.300270875831856
NOPCR_BA.2_0.003_abundance_0.014.tsv	[('Omicron', 0.9981621656089211)]	BA.2.3.6 BA.2.3.14 BA.2.3.21 BA.2.3.17 BA.2.3.16 BA.2.3.10 BA.2.3.9 BA.2.40 BA.2.3.13 BA.2.50 BA.2.29 BA.2.65 BA.2.3 BA.2.10 BA.2.27 BA.2.56 BA.2.5 BA.2 BA.2.3.5	0.05536634 0.05536634 0.05536634 0.05536634 0.05536634 0.05536634 0.05536634 0.05536634 0.05536634 0.05536634 0.05536634 0.05536634 0.05536634 0.05536634 0.05536634 0.05536634 0.05536634 0.05536634 0.00156798	0.6487358775924554	6.875564324649701
NOPCR_BA.2_0.003_abundance_0.016.tsv	[('Omicron', 0.9984918263792684)]	BA.2.3.6 BA.2.3.21 BA.2.3.1 BA.2.3.16 BA.2.3.10 BA.2.3.13 BA.2.3.9 BA.2.11 BA.2.62 BA.2.27 BA.2.30 BA.2.29 BA.2.3 BA.2.5 BA.2.65 BA.2.56 BA.2.19	0.06228555 0.06228555 0.06228555 0.06228555 0.06228555 0.06228555 0.06228555 0.06228555 0.06228555 0.06228555 0.06228555 0.06228555 0.06228555 0.06228555 0.06228555 0.06228555 0.00192297	0.938425796415459	12.51379460254824
NOPCR_BA.2_0.003_abundance_0.017.tsv	[('Omicron', 0.9985427294962687)]	BA.2.29 BA.2.65 BA.2.3.5	0.49866419 0.49866419 0.00121435	1.0135833745532037	18.69712069023175
NOPCR_BA.2_0.003_abundance_0.018.tsv	[('Omicron', 0.9987552685909749)]	BA.2.35 BA.2.13 BA.2.45 BA.2.43 BA.2.51 BA.2.41 BA.2.34 BA.2.32 BA.2.62 BA.2.56 BA.2.65 BA.2 BA.2.66	0.08312830 0.08312830 0.08312830 0.08312830 0.08312830 0.08312830 0.08312830 0.08312830 0.08312830 0.08312830 0.08312830 0.08312830 0.00121561	1.1402941787552683	28.037320670166874
NOPCR_BA.2_0.003_abundance_0.019.tsv	[('Omicron', 0.9999419304805472)]	BA.2.56 BA.2.65 BA.2.29 BA.2.23	0.33294162 0.33294162 0.33294162 0.00111707	1.7707178507681256	30.244457077885162
NOPCR_BA.2_0.003_abundance_0.0110.tsv	[('Omicron', 0.9982316759357565)]	BA.2.34 BA.2.32 BA.2.29 BA.2.65 BA.2.24 BA.2 BA.2.19	0.16610911 0.16610911 0.16610911 0.16610911 0.16610911 0.16610911 0.00157703	1.4279834342218063	34.97642377019028
