	summarized	lineages	abundances	resid	coverage
BA.2_0.003_abundance_0.052.tsv	[('Omicron', 0.9958466076401123)]	BA.2.13 BA.2.45 BA.2.40.1 BA.2.7 BA.2.51 BA.2.52 BA.2.62 BA.2.34 BA.2.32 BA.2.64 BA.2.85 BA.2.11 BA.2.28 BA.2.40 BA.2.27 BA.2.30 BA.2.29 BA.2.24 BA.2.56 BA.2.65 BA.2 BA.2.66	0.04736551 0.04736551 0.04736551 0.04736551 0.04736551 0.04736551 0.04736551 0.04736551 0.04736551 0.04736551 0.04736551 0.04736551 0.04736551 0.04736551 0.04736551 0.04736551 0.04736551 0.04736551 0.04736551 0.04736551 0.04736551 0.00117088	0.5897320044479716	6.651506537805571
BA.2_0.003_abundance_0.053.tsv	[('Omicron', 0.9981131117571457)]	BA.2.13 BA.2.49 BA.2.40.1 BA.2.7 BA.2.50 BA.2.51 BA.2.52 BA.2.34 BA.2.32 BA.2.11 BA.2.40 BA.2.62 BA.2.27 BA.2.30 BA.2.29 BA.2.24 BA.2.56 BA.2.65 BA.2 BA.2.19	0.05245620 0.05245620 0.05245620 0.05245620 0.05245620 0.05245620 0.05245620 0.05245620 0.05245620 0.05245620 0.05245620 0.05245620 0.05245620 0.05245620 0.05245620 0.05245620 0.05245620 0.05245620 0.05245620 0.00144530	1.0985303531077073	8.333612012172692
BA.2_0.003_abundance_0.054.tsv	[('Omicron', 0.9989364465446198)]	BA.2.35 BA.2.45 BA.2.40.1 BA.2.34 BA.2.32 BA.2.64 BA.2.10.2 BA.2.33 BA.2.40 BA.2.29 BA.2.24 BA.2.10 BA.2.27 BA.2.65 BA.2.56 BA.2.4 BA.2 BA.2.23	0.05869272 0.05869272 0.05869272 0.05869272 0.05869272 0.05869272 0.05869272 0.05869272 0.05869272 0.05869272 0.05869272 0.05869272 0.05869272 0.05869272 0.05869272 0.05869272 0.05869272 0.00116027	1.0934778232571327	13.165903086646825
BA.2_0.003_abundance_0.055.tsv	[('Omicron', 0.9998567536690851)]	BA.2.65 BA.2.27 BA.2.56 BA.2 BA.2.3.5 BA.2.23	0.24910929 0.24910929 0.24910929 0.24910929 0.00190819 0.00151139	1.4306628002254722	23.50600274219978
BA.2_0.003_abundance_0.056.tsv	[('Omicron', 0.999599759708311)]	BA.2.13 BA.2.51 BA.2.34 BA.2.32 BA.2.41 BA.2.24 BA.2.65 BA.2.10 BA.2.56 BA.2.23	0.11081548 0.11081548 0.11081548 0.11081548 0.11081548 0.11081548 0.11081548 0.11081548 0.11081548 0.00226046	2.269669604354701	37.85907768451326
BA.2_0.003_abundance_0.057.tsv	[('Omicron', 0.9999902472766325)]	BA.2.27 BA.2.65 BA.2.56 BA.2.23	0.33259302 0.33259302 0.33259302 0.00221120	1.8276421867619215	47.91492492392068
BA.2_0.003_abundance_0.058.tsv	[('Omicron', 0.9984037733599008)]	BA.2.65 BA.2.27 BA.2.71 BA.2.23	0.47210895 0.47210895 0.05262850 0.00155736	2.9014785716214027	55.33558505835535
BA.2_0.003_abundance_0.059.tsv	[('Omicron', 0.9999281010199833)]	BA.2.29 BA.2.65 BA.2 BA.2.4 BA.2.19 BA.2.23	0.32856226 0.32856226 0.32856226 0.01204820 0.00112930 0.00106380	2.3136016654933638	63.06390663144166
BA.2_0.003_abundance_0.0510.tsv	[('Omicron', 0.9985338270743805)]	BA.2.29 BA.2.27 BA.2.65	0.33284461 0.33284461 0.33284461	2.5576407123112848	67.50493261545664
