	summarized	lineages	abundances	resid	coverage
BA.2_0.003_abundance_0.031.tsv	[('Omicron', 0.9979806940942466)]	BA.2.79.1 BA.2.16 BA.2.10.2 BA.2.28 BA.2.30 BA.2.29 BA.2.10 BA.2.27 BA.2.65 BA.2.56 BA.2.5 BA.2 BA.2.23	0.12996365 0.07875969 0.07875969 0.07875969 0.07875969 0.07875969 0.07875969 0.07875969 0.07875969 0.07875969 0.07875969 0.07875969 0.00166044	0.9759823453646806	5.2402768952947865
BA.2_0.003_abundance_0.033.tsv	[('Omicron', 0.9968939724013977)]	BA.2.69 BA.2.34 BA.2.32 BA.2.10.1 BA.2.30 BA.2.24 BA.2.10 BA.2.27 BA.2.65 BA.2.5 BA.2	0.09062672 0.09062672 0.09062672 0.09062672 0.09062672 0.09062672 0.09062672 0.09062672 0.09062672 0.09062672 0.09062672	0.6867717409678706	6.330468514864729
BA.2_0.003_abundance_0.034.tsv	[('Omicron', 0.9988096196398676)]	BA.2.3.6 BA.2.3.21 BA.2.3.18 BA.2.3.17 BA.2.35 BA.2.3.1 BA.2.3.16 BA.2.3.10 BA.2.3.2 BA.2.3.9 BA.2.3.13 BA.2.40 BA.2.56 BA.2.62 BA.2.29 BA.2.3 BA.2.65 BA.2 BA.2.19 BA.2.23	0.05531752 0.05531752 0.05531752 0.05531752 0.05531752 0.05531752 0.05531752 0.05531752 0.05531752 0.05531752 0.05531752 0.05531752 0.05531752 0.05531752 0.05531752 0.05531752 0.05531752 0.05531752 0.00190718 0.00118711	0.6700661133650836	11.049058622880647
BA.2_0.003_abundance_0.035.tsv	[('Omicron', 0.9990982192971462)]	BA.2.44 BA.2.49 BA.2.40.1 BA.2.51 BA.2.7 BA.2.34 BA.2.40 BA.2.10 BA.2.50 BA.2.29 BA.2.24 BA.2.5 BA.2.65 BA.2 BA.2.19	0.07120115 0.07120115 0.07120115 0.07120115 0.07120115 0.07120115 0.07120115 0.07120115 0.07120115 0.07120115 0.07120115 0.07120115 0.07120115 0.07120115 0.00228213	1.05503119001176	17.921278801458048
BA.2_0.003_abundance_0.036.tsv	[('Omicron', 0.9982195576328861)]	BA.2.7 BA.2.33 BA.2.29 BA.2.27 BA.2.65 BA.2.56	0.16636993 0.16636993 0.16636993 0.16636993 0.16636993 0.16636993	1.02165238861932	24.017657091261746
BA.2_0.003_abundance_0.037.tsv	[('Omicron', 0.9983347151956022)]	BA.2.13 BA.2.45 BA.2.43 BA.2.30 BA.2.7 BA.2.51 BA.2.34 BA.2.26 BA.2.32 BA.2.28 BA.2.62 BA.2.27 BA.2.41 BA.2.29 BA.2.24 BA.2.56 BA.2.65 BA.2 BA.2.19	0.05539638 0.05539638 0.05539638 0.05539638 0.05539638 0.05539638 0.05539638 0.05539638 0.05539638 0.05539638 0.05539638 0.05539638 0.05539638 0.05539638 0.05539638 0.05539638 0.05539638 0.05539638 0.00119988	2.113926771789759	34.31428284787479
BA.2_0.003_abundance_0.038.tsv	[('Omicron', 0.9975801409616674)]	BA.2 BA.2.65 BA.2.57 BA.2.73 BA.2.12 BA.2.56 BA.2.58 BA.2.64 BA.2.3.5	0.13519814 0.13519814 0.13519814 0.13519814 0.13519814 0.13519814 0.13519814 0.04999889 0.00119426	2.4210794632812105	44.04909206434137
BA.2_0.003_abundance_0.039.tsv	[('Omicron', 0.9986006410096266)]	BA.2.29 BA.2.65 BA.2.19 BA.2.23	0.49671203 0.49671203 0.00336506 0.00181152	2.6734414010551455	50.00836036518075
BA.2_0.003_abundance_0.0310.tsv	[('Omicron', 0.9983945838529376)]	BA.2.29 BA.2.56 BA.2.65 BA.2 BA.2.14	0.24391692 0.24391692 0.24391692 0.24391692 0.02272690	3.4806839489781103	61.853325753268905
